,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
148,Data Scientist,$80K-$130K (Glassdoor est.),"Crowdskout is a platform for advocates to create, power, and cultivate communities at local and national levels. We provide mobilization and data tools to non-profits, issue advocacy groups, electoral groups, and corporate social impact teams. We are building capabilities that live beyond a 4-year election cycle, and outside of a traditional ""Red/Blue"" partisan paradigm.

Crowdskout seeks a Data Scientist to build models and derive insights to power the Crowdskout data platform. The Data Scientist will design and analyze experiments, build predictive models, assist with survey methodology, and perform general data analysis on a diverse array of datasets with hundreds of millions of records. They will collaborate closely with the Product and Engineering teams to advise product strategy and incorporate their insights and models into production.

If you are highly motivated, super passionate about democracy, and want to join a close-knit team that is looking to build great things for regular people, Crowdskout may be for you. This is a full-time position in Atlanta, GA; Durham, NC; Salt Lake City, UT; Austin TX; Washington, DC; New York City, NY, or fully remote.

Responsibilities

Build predictive models, tools, and data visualizations
Lead and execute data science research and development projects, including algorithm and experiment design
Independently (and often Collaboratively) explore data sets for insight and understanding that can help drive product changes and priority
Collaborate with the product and data engineering teams to bring models and insights into production

Desired Skills

At least 2 years of experience in a quantitative production environment or a postgraduate degree in a quantitative field
Experience in data mining and machine learning tools and languages including Jupyter notebooks, Python, R, etc.
Ability to work with git for collaboration and version control
Familiarity with machine learning pipeline workflows for modeling, tuning, logging and deployment to end users

Nice-to-haves

Knowledge of a general purpose programming language such as Python, Java, or C
Experience with geospatial modeling
Experience with graph database technologies and graph algorithms
Experience working with product and engineering teams
Experience with data in the political or advocacy spaces

Crowdskout is an equal opportunity employer that encourages diversity across all spectrums in its hiring, without regard to race, gender, age, color, religion, national origin, marital status, disability, sexual orientation, or any other protected factor. With that being said, we wouldn't be able to accommodate candidates in need of work sponsorship at this time since we are a small company. If you find this role interesting and you hit on the elements above, please apply!",4.5,"Crowdskout
4.5","Washington, DC",-1,1 to 50 Employees,2014,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1
149,Senior Data Scientist 4 Artificial Intelligence,$80K-$130K (Glassdoor est.),"*Organization and Job ID**
Job ID: 311095

Directorate: National Security Directorate

Division: Computing & Analytics

Group: Data Sciences & Analytics
*Job Description**
Do you want to create a legacy of meaningful research for the greater good? Do you want to lead and contribute to work in support of an organization that addresses some of todays most challenging problems that face our Nation? Do you want to work with engaging and collaborative teams? Then join us in the Data Sciences and Analytics Group at the Pacific Northwest National Laboratory (PNNL)!

For more than 50 years, PNNL has advanced the frontiers of science and engineering in the service of our nation and the world in the areas of energy, the environment and national security. PNNL is committed to advancing the state-of-the-art in artificial intelligence through applied machine learning and deep learning to support scientific discovery and our sponsors missions. Help us advance this frontier and protect our nation!

Data science at the Pacific Northwest National Laboratory (PNNL) addresses critical national and global issues by applying scientific and mathematical techniques to multiple data sources and communicating the finding to our sponsors and the academic community. This position requires thought leadership and technical depth to support the sponsors of PNNLs National Security Directorate in the development and advancement of data science and artificial intelligence research. Research of interest includes the development, implementation, and resulting analyses of national security capabilities related to AI assurance, remote sensing and geo-spatial analytics, human language technologies, computer vision, and other related fields.

+ The data scientist in artificial intelligence should have the following attributes:

+ Familiar with existing deep learning libraries (e.g., TensorFlow, PyTorch, Caffe2) and machine learning packages (i.e. sklearn)

+ Experience applying machine learning and artificial intelligence to domain specific applications, such as natural language processing, remote-sensing and geo-spatial intelligence, adversarial machine learning, social computing, computer vision, etc.

+ Ability to contribute that knowledge to the academic and research strength of PNNL and have experience writing scientific publications demonstrating their insight and discovery (e.g., publication in conferences such as NeurIPS, ICML, ICLR, KDD, CVPR, ICCV, ECCV, ACL, ICWSM, EMNLP, NAACL, EACL, COLING, and SIGIR is preferred)

This position will require interactions with Government, military, and industry officials nationwide for a variety of programs, projects, and tasks, including technical and programmatic concept development, planning, coordination, integration, and execution that can be supported by data science and deep learning techniques.
*Minimum Qualifications**
+ Bachelors degree with 7 years of experience, Masters with 5 years of experience or PHD with 3 years of experience
*Preferred Qualifications**
+ Active Federal Q Clearance and ability to maintain such clearance.
*Equal Employment Opportunity**
Battelle Memorial Institute (BMI) at Pacific Northwest National Laboratory (PNNL) is an Affirmative Action/Equal Opportunity Employer and supports diversity in the workplace. All employment decisions are made without regard to race, color, religion, sex, national origin, age, disability, veteran status, marital or family status, sexual orientation, gender identity, or genetic information. All BMI staff must be able to demonstrate the legal right to work in the United States. BMI is an E-Verify employer. Learn more at jobs.pnnl.gov.
*_Please be aware that the Department of Energy (DOE) prohibits DOE employees and contractors from participation in certain foreign government talent recruitment programs. If you are offered a position at PNNL and are currently a participant in a foreign government talent recruitment program you will be required to disclose this information before your first day of employment._**
*Other Information**
This position requires the ability to obtain and maintain a federal security clearance.

Requirements:
U.S. Citizenship
Background Investigation: Applicants selected will be subject to a Federal background investigation and must meet eligibility requirements for access to classified matter in accordance 10 CFR 710, Appendix B.
Drug Testing: All Security Clearance (L or Q) positions will be considered by the Department of Energy to be Testing Designated Positions which means that they are subject to applicant, random, and for cause drug testing. In addition, applicants must be able to demonstrate non-use of illegal drugs, including marijuana, for the 12 consecutive months preceding completion of the requisite Questionnaire for National Security Positions (QNSP).
Note: Applicants will be considered ineligible for security clearance processing by the U.S. Department of Energy until non-use of illegal drugs, including marijuana, for 12 consecutive months can be demonstrated.

_Directorate:_ _National Security_

_Job Category:_ _Scientists/Scientific Support_

_Group:_ _Data Sciences & Analytics_

_Opening Date:_ _2020-08-23_

_Closing Date:_ _2020-11-21_",3.9,"Pacific Northwest National Laboratory
3.9","Richland, WA",-1,1001 to 5000 Employees,1965,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),-1
150,COMPUTER SCIENTIST - ENGINEER - RESEARCH COMPUTER SCIENTIST - ADVANCED INSPECTION SYSTEMS,$80K-$130K (Glassdoor est.),"Who We Are:


The Intelligent Systems Division develops automated solutions for commercial and government clients in multiple domains including transportation (traffic management, connected automated vehicle), manufacturing robotics, medical prognostics and communication standards.


Objectives of this Role:

Leverage embedded development, machine learning, artificial intelligence and big data techniques to advanced analysis and development of high reliability software and custom sensing technologies.

Daily and Monthly Responsibilities:


Develop technical solutions for high reliability software and custom sensing applications.
Promote developed solutions in technical industry through conference presentations and/or research paper publications.
For more information about the position see:
https://www.swri.org/leak-detection
https://www.swri.org/industries/machine-learning-technologies
https://www.swri.org/industry/chemical-analysis-services/mass-spec-data-analysis

Requirements:


Requires an Bachelors or a Masters or a PhD with a 3.00 GPA in BS, MS, or PhD in Computer Engineering, Computer Science, Electrical Engineering, Mathematics or other related disciplines.
0-5 years in software development or engineering
Course work or experience in more than one of the following: embedded systems, signal processing, machine learning/artificial intelligence, FPGA development, sensors and instrumentation, Python Programming
Strong software skills
Excellent verbal and written communication skills required
Ability to work in project team environments and independently
Excellent problem-solving skills and driven by challenging problems
Aptitude for continuous learning and leadership potential
A valid/clear driver's license is required


Special Requirements:


Applicant selected will be subject to a government security investigation and must meet eligibility requirements for access to classified information. Applicant must be a U.S. citizen.

Job Locations: San Antonio, Texas


For more information about this division, visit the Intelligent Systems home page.

An Equal Employment Opportunity/Affirmative Action Employer
Race/Color/Religion/Sex/Sexual Orientation/Gender Identity/National Origin/Disabled/Veteran
Committed to Diversity in the Workplace
If you need assistance, please Contact Us",4.0,"Southwest Research Institute
4.0","San Antonio, TX",-1,1001 to 5000 Employees,1947,Nonprofit Organization,Research & Development,Business Services,$500 million to $1 billion (USD),-1
151,Data Scientist,$80K-$130K (Glassdoor est.),"Leverages statistical analysis, data visualization, strategic thinking, behavioral science, and storytelling to create value for Maritz clients. This person will work intimately with the Employee Engagement team to organize data, build software tools, and analyze data. The ideal candidate will be able to identify a need, design a solution, wrangle data, perform an analysis, and communicate the results to a non-technical audience. Candidate should have tangible coding experience and familiarity with predictive modeling and machine learning.

Scope

The data scientist is the conduit between Maritz’ world class data science practice and our Fortune 100 clients: scoping, conducting, and communicating comprehensive analytics and behavioral insights to build lasting value.

This role develops and leads data analysis and visualization efforts. Interfaces with internal and external audiences across Maritz clients. Takes a leadership role in making recommendations resulting in program enhancements and measurable business results. Adds data intelligence to existing applications and software.

No direct reports.

No budgetary responsibility.

Reporting and Working Relationships

Reports to Chief Behavioral Officer, Maritz.

Interacts significantly with account teams on assigned accounts, including such business roles as Sales, Operations, Solution Design, Solution Strategists, Finance, Technology, Marketing, etc. Interacts significantly with Technology team and client to extract appropriate data files for analysis. May interact with other resources outside of assigned business unit. Interacts with existing or prospective C-level client contacts in face-to-face meetings to establish a relationship and manage client expectations as appropriate.

Primary Responsibilities

Performance Analytics: 35%

Conducts analysis to measure the effect of programs, campaigns, or other efforts. Develops scope for ad-hoc analyses, executing as appropriate and converting ad-hoc analyses to standard offerings. Requesting and leading other analytical resources to complete assigned client deliverables. Identifying appropriate data sources (internal, client, 3rd party) and gathering data in an efficient and timely manner. Analyzing program data and performance. Requesting and leading account team conversations to support crafting of strategic recommendations to client. Visualizes and communicates findings in a clear, understandable manner to non-technical audiences.

Data Modeling and Strategic Planning: 35%

Creates statistical models, such as regression, classification, text-mining, or machine learning models. Applies historical client data to perform sensitivity, ""what if"" scenarios in order to recommend the proper course of action to the client or internal team. Develops financial models, such as return-on-investment (ROI) and reward redemption forecasts. Strategically utilizes business intelligence knowledge and thorough understanding of core solutions offerings. Visualizes and communicates findings in a clear, understandable manner to non-technical audiences.

Client Engagement and Thought Leadership: 30%

Incorporates client-facing skills with strategic presentation skills to establish a credible relationship with clients and prospects. Acts as a subject matter expert, presenting analytic services and insights to clients in both pre-sale and post-sale situations. Presents findings and recommendations to C-level clients in face-to-face meetings for Maritz' client programs, emphasizing data-driven strategic insights to drive business performance, while following quality control processes as established by Performance Analytics Leadership. Develops case studies, white papers and other documents from knowledge gained from client analyses to support Maritz' public relations and marketing efforts.

Qualifications
Bachelor's degree or equivalent experience in Statistics, Economics, Engineering, applied math, physics, computer science, operations research, or other quantitative program required. Additional degrees with relevant work experience will also be considered. Master’s or similar advanced degree strongly preferred.
Minimum of 5+ years of experience in serving clients in a business or marketing environment. Experience with employee engagement, recognition, incentives, customer retention, and/or loyalty data a strong plus.
Excellent organizational and project management skills with the ability to handle multiple projects simultaneously.
Experience in statistical analysis of data, including the use of hypothesis testing, linear and logistic regression, predictive modeling techniques required. Experience with unsupervised learning and additional machine learning techniques a strong plus.
Experience with relational database systems and some knowledge of SQL is required. Proficiency in one or more programming languages is also required. R is strongly preferred, but Python will also be considered.
Demonstrated ability to present complex models and ideas to decision makers using oral, written, and presentation skills. Experience with data visualization or data storytelling is key.
Experience with behavioral science and/or behavioral economics a plus.
DISCLAIMER: This job description is designed to indicate the general nature and level of work performed by associates within this classification. It is not designed to confirm or be interpreted as a comprehensive summary of all duties, responsibilities and qualifications required of associates assigned to this job.

Maritz will only employ applicants who have authorization to work permanently in the U.S. This is not a position for which sponsorship will be provided. Those who need sponsorship for work authorization now or in the future are not eligible for hire. No calls or agencies please.

Maritz is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to sex, race, color, religion, national origin, age, marital status, political affiliation, sexual orientation, gender identity, genetic information, disability or protected veteran status. We are committed to providing a workplace free of any discrimination or harassment. If you have a disability and are having difficulty accessing or using this website to apply for a position, you can request help by calling 1-636-827-1650 or by sending an email to idisability.administrator@maritz.com .",3.6,"Maritz Inc.
3.6","Fenton, MO",-1,1001 to 5000 Employees,1894,Company - Private,Advertising & Marketing,Business Services,$1 to $2 billion (USD),-1
152,Data Scientist,$80K-$130K (Glassdoor est.),"Chubb is the world’s largest publicly traded property and casualty insurer. With operations in 54 countries, Chubb provides commercial and personal property and casualty insurance, personal accident and supplemental health insurance, reinsurance and life insurance to a diverse group of clients. Chubb is also defined by its extensive product and service offerings, broad distribution capabilities, exceptional financial strength and local operations globally.

This entry to mid level AI position within Chubb is part of Applied Data Solutions team that is at the foreftont of developing new innovative data driven solutions with bleeding edge machine learning algorithms.

Data Scientist is a highly technical job that uses machine learning (including deep learning) to automate underwriting processes. This person will be working in a vibrant data science group, alongside data engineers, data analyts, architects, and code developers to develop these solutions and put them into production for the business.

Ideal candidate for this role is someone with a strong background in computer programming, statistics, and data science or related field who is eager to tackle problems with innovative thinking without compromising detail business insights. You are adept at solving diverse business problems by utilizing a variety of different tools, strategies, machine learning techniques, algorithms and programming languages.

Skills Required
Deep understanding of ML concepts such as Probabilistic Models, Supervised and Unsupervised Learning, Neural Networks, Ensembling.
2-3 years programming experience in Python, including Numpy, Scipy, Pandas, Regex, Matplotlib and a machine learning library such as Scikit Learn or H2O.
Experience in data visualization.
Ability to work with business partners to understand problems and solution expectations to frame hypothesis
Must have strong problem solving skills
Multi-tasking along with strong organization and time management skills.
Strong communication and presentation skills.
Preferred Skills:
Experience with data and machine learning services using Azure
Experience with Github
Experience programming in Spark and SQL
Extensive experience working with Data APIs (Working with RESTful endpoints and/or SOAP)
Experience in a major AI/NLP platform (e.g. API.ai, Wit.ai etc.) is a must
Deep learning for natural language processing (e.g. LSTMs, BERT)
Qualifications/Experience
Masters in Computer Science or related educational background or PhD in a science involving modeling and scientific programming
2-5 years of advanced AI and machine learning techniques and applications
Microsoft Azure certifications a huge plus",3.4,"Chubb
3.4","Philadelphia, PA",-1,10000+ Employees,1792,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD),-1
153,Data Scientist (4960U,$80K-$130K (Glassdoor est.),"At the University of California, Berkeley, we are committed to creating a community that fosters equity of experience and opportunity, and ensures that students, faculty, and staff of all backgrounds feel safe, welcome and included. Our culture of openness, freedom and belonging make it a special place for students, faculty and staff.

The University of California, Berkeley, is one of the world’s leading institutions of higher education, distinguished by its combination of internationally recognized academic and research excellence; the transformative opportunity it provides to a large and diverse student body; its public mission and commitment to equity and social justice; and its roots in the California experience, animated by such values as innovation, questioning the status quo, and respect for the environment and nature. Since its founding in 1868, Berkeley has fueled a perpetual renaissance, generating unparalleled intellectual, economic and social value in California, the United States and the world.

We are looking for equity-minded applicants who represent the full diversity of California and who demonstrate a sensitivity to and understanding of the diverse academic, socioeconomic, cultural, disability, gender identity, sexual orientation, and ethnic backgrounds present in our community. When you join the team at Berkeley, you can expect to be part of an inclusive, innovative and equity-focused community that approaches higher education as a matter of social justice that requires broad collaboration among faculty, staff, students and community partners. In deciding whether to apply for a position at Berkeley, you are strongly encouraged to consider whether your values align with our Guiding Values and Principles, our Principles of Community, and our Strategic Plan.
Application Review Date
The First Review Date for this job is: August 18, 2020
Departmental Overview
UC Berkeley Extension is the continuing education branch of the University of California, Berkeley. Extension offers more than 2,000 courses per year in a variety of subjects both online and in the classroom. Extension’s administrative departments and units include student records (transcripts), registration, scheduling, international student services, facilities, financial services, and the cashier’s office. In addition to the main Berkeley center, it has responsibility for the maintenance and operation of regional centers in San Francisco (Spear Street), and Belmont and other leased facilities in the San Francisco Bay Area.

UC Berkeley Extension administrators work to ensure that Extension is meeting the rapidly changing educational needs of our world, while maintaining the high academic standards consistent with the University of California, Berkeley.

The University of California, Berkeley, is accredited by the Western Association of Schools and Colleges (WASC). UC Berkeley Extension—like all other UC Berkeley schools, colleges and departments—is accredited by WASC through the University.
Responsibilities
Consults with end users to identify data and reporting needs.
Creates queries and generates reports.
Develops, prepares and tests reports using different Data Visualization tool such as Tableau, Google Data Studio, and Excel, among other tools.
Performs comprehensive data analysis for business decision making. Implements MAchine Learning algorithms to help buisness decisions by achieving high accuracy forecasts.
Assists in identifying and resolving data and system errors and discrepancies.
Performs segments of quality assurance planning and testing.
Participates in end user training ensuring user competence, data access, and optimal performance of BI tools and processes.
Participates on cross-functional teams to address business intelligence processes and services.
Performs marketing research within different subjects to assess market demand, ideal price, competitor analysis.
Required Qualifications
Working knowledge of business intelligence functions and analytics.
Working knowledge of relevant internal databases, BI applications and tools.
Ability to produce reports and documentation.
Demonstrated analytical and problem-resolution skills.
Education/Training:
Bachelor's degree in related area and/or equivalent experience/training.
Preferred Qualifications
Detail oriented, with demonstrated organizational skills.
Demonstrated written and verbal communication skills with the ability to convey complex information in a clear, concise manner.
Demonstrated interpersonal skills for effective collaboration with professional and technical staff.
Ability to train staff at a variety of technical skill levels.
Knowledge of database design and management (SQL experience a plus).
Advanced proficiency with Python or R and working knowledge of both.
Experience with statistical software.
Experience applying data science methods – including machine learning, natural language processing, web scraping, or big data platforms
Salary & Benefits
This is an exempt, monthly paid position. Annual salary is commensurate with experience.

For information on the comprehensive benefits package offered by the University visit:

https://ucnet.universityofcalifornia.edu/compensation-and-benefits/index.html",4.2,"University of California Berkeley
4.2","Berkeley, CA",-1,10000+ Employees,1682,College / University,Colleges & Universities,Education,$500 million to $1 billion (USD),-1
154,Data Scientist,$80K-$130K (Glassdoor est.),"The Role:

We are currently seeking a talented Data Scientist to join us as we develop our data driven, analytic-focused products designed to revolutionize the law enforcement sector. As a Data Scientist, you will have the opportunity to:
Build, review, and refine machine learning models related to improving the management of law enforcement officers;
Build data pipelines for extracting thousands of variables across 10s/100s of millions of records;
Collaborate with the Benchmark Research Team and other employees to build/enhance user-centered data products
If you are interested in working with passionate and intelligent individuals dedicated to positively impacting society through data, then we believe this is an unprecedented opportunity to experience that first-hand.

Requirements

The Candidate:

The ideal candidate will be someone who has:
Master’s in data science, statistics or computer science preferred, but all applicants are considered based on education, experience and demonstrated skills (e.g., GitHub repository of projects)
1-2 years of experience building, refining and selecting machine learning models (e.g., logistic regression, decision trees, random forest, SVM)
Robust knowledge of statistics and data analysis
Confident in using SQL to pull data from a database
Confident in creating statistical models using Python
Able to learn and adapt to new technologies quickly
The ability to successfully manage multiple concurrent tasks/projects and meet deadlines
Ability to work independently with minimal guidance from management (except in complex and non-routine situations)
Strong sense for working and communicating well with others
Benefits

What We Offer:
A truly unique experience to work for a fast-growing, young company
The satisfaction that comes with being part of a solution that makes a big difference in the world
The excitement that comes with the need to endlessly innovate and transform our market
A competitive base salary and flexible PTO policy
We cover 75% of Medical (BCBS) Premiums, Dental & Vision Premiums, and offer 100% company sponsored Life Insurance as well as a 401k plan
The Fine Print and How to Apply:
Thank you for your interest in our company and what we are building.
Benchmark Analytics is an Equal Opportunity Employer. We value diversity of all kinds in our effort to create a stellar workforce of committed and passionate team members.
Unfortunately, we are not able to sponsor employment visas at this time, so we can only accept applications from candidates who are authorized to work in the US.",3.8,"Benchmark Analytics
3.8","Chicago, IL",-1,1 to 50 Employees,-1,Company - Private,-1,-1,Less than $1 million (USD),-1
155,Data Scientist,$80K-$130K (Glassdoor est.),"The Smule mission is to connect people all over the world through the joy of making music at massive social scale. Music is much more than just listening… it's about creating, sharing, discovering, participating, and connecting with people. It is a social network with the power to break down barriers, touch souls and bring people together from all over the world.

At Smule, your work will directly impact the product experience of millions of users. You will work collaboratively alongside a team of talented data scientists on cutting-edge projects that have high visibility. You will leverage our datasets that contain demographic, transactional, behavioral, social, text, and audio and video data. We offer a stable, collaborative, and a supportive work environment with a constant stream of new things to learn.

If you have a passion for quality data science and software engineering practices, and enjoy working in a fast-paced, iterative, and a highly rewarding development environment, then Smule is the place for you!

Responsibilities:

Build, validate, and deploy machine learning models and recommender systems in batch and real time pipeline
Have a customer first approach with a focus on improving user experience by optimizing functional and non-functional parameters such as performance, accessibility, and security.
Write technical specifications, document design approach and all findings, and share with the team
Show thought leadership and effectively incorporate machine learning into product features
Be a high-performing team player who enjoys collaborating with, learning from, and mentoring other team members to create a positive work environment.
Automate data cleaning, transformations, feature engineering, governance, and analysis.
Communicate findings clearly and succinctly to technical and non-technical audience.

Requirements

4+ years experience in a data scientist role with a proven track record of deploying machine learning models to production
Strong programming skills in Python and Scala and distributed technologies such as Spark, Kafka, and Hadoop
Ability to use machine learning frameworks such as scikit-learn, SparkML, or Tensorflow, and tools such as notebooks (Jupyter, Zepellin).
Experience with NoSQL and SQL databases, such as Cassandra and Snowflake, respectively.
Experience in building and deploying machine learning recommender systems a plus
MS/PhD in computer science, mathematics, statistics, or related fields, or equivalent industry experience.

We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status",3.7,"Smule
3.7","San Francisco, CA",-1,51 to 200 Employees,2008,Company - Private,Internet,Information Technology,$100 to $500 million (USD),-1
156,"Director, Data Scientist – Visualization, Novartis AI Innovation Lab",$128K-$208K (Glassdoor est.),"04-Sep-2020

Job ID
279466BR
{""QuestionName"":""Job Description"",""AnswerValue"":""Two companies and one incredible alliance.

Novartis and Microsoft have formed alliance to leverage data & Artificial Intelligence (AI) to develop transformative medicines faster and more cost-effectively for patients worldwide.

We are seeking a thought leader and team builder to join the Novartis Innovation AI Lab to advance the field of Life Science and healthcare analytics.

In this newly formed alliance with Microsoft, you will lead Visualization analysis for Novartis .

In this newly created role, you will:
• Conduct end-to-end Visualization analysis of large scale healthcare data sets
• Take a hands-on role and deliver on highly visible multiple projects
• Serve as an ambassador for Novartis Data Science by presenting and publishing articles at conferences, business meetings and academic institutions
• Facilitate design and creation of knowledge repositories
• Collaborate with the digital and DSAI teams
• Keep ahead of latest development in the field and mentor associates
• Inspire others on culture change

Why consider Novartis?

799 million. That’s how many lives our products touch. And while we’re proud of that fact, in this world of digital and technological transformation, we must also ask ourselves this: how can we continue to improve and extend even more people’s lives?

We believe the answers are found when curious, courageous and collaborative people like you are brought together in an inspiring environment. Where you’re given opportunities to explore the power of digital and data. Where you’re empowered to risk failure by taking smart risks, and where you’re surrounded by people who share your determination to tackle the world’s toughest medical challenges.

We are Novartis. Join us and help us reimagine medicine.

Posting Title
Director, Data Scientist – Visualization, Novartis AI Innovation Lab",4.0,"Novartis
4.0","Cambridge, MA",-1,10000+ Employees,1996,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),-1
157,Data Scientist,$128K-$208K (Glassdoor est.),"The Data Scientist in Diversity and Inclusion will be part of a team working on ground floor change that will continue to strengthen St. Judes culture and work environment. We are looking for someone who is very analytical, has strong critical thinking skills, and is a strong communicator. This position will be responsible for using data to unlock trends, build predictive analytics, and provide key insights that are critical for the success of St. Jude operations. Using the data and trends, the selected individual will be presenting charts, graphs, and presentations to St. Jude management teams. The individual will collaborate with other Data Scientists at St. Jude and members of the Diversity and Inclusion team to gain domain knowledge across all areas of the hospital. If this position excites you, please apply and we look forward to reviewing your application.

Perform all data pre-processing steps including but not limited to collecting data in collaboration with Data Engineers, data cleansing, normalization, feature selection and dimensionality reduction

Develop machine learning models or use stochastic models

Document all technical and business aspects associated with each project
Master's degree in Statistics/Mathematics/Business Analytics or related fields is required
Four (4) years of experience in data analytics/reporting required, with at least two (2) of those years of experience in exclusive data science role
Two (2) years in a data scientist role required with a doctoral degree (PhD)
Must possess implementation experience of data science solutions using R/Python/Scala, Matlab, RapidMiner, SAS, Spark, Excel or related technologies
Clinical/Health Care domain experience preferred
Strong background in statistical analysis and root cause analysis is preferred
Strong verbal and written communication skills is preferred
R/Python/Data Scientist/other related certifications preferred
St. Jude is an Equal Opportunity Employer

No Search Firms:


St. Jude Children's Research Hospital does not accept unsolicited assistance from search firms for employment opportunities. Please do not call or email. All resumes submitted by search firms to any employee or other representative at St. Jude via email, the internet or in any form and/or method without a valid written search agreement in place and approved by HR will result in no fee being paid in the event the candidate is hired by St. Jude.",4.7,"St. Jude Children's Research Hospital
4.7","Memphis, TN",-1,1001 to 5000 Employees,1962,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$1 to $2 billion (USD),-1
158,Data Scientist,$128K-$208K (Glassdoor est.),"Job Level: Professional
Job Family: Data Analytics
Department: Product
Reports to: Director of Product

Location: Boulder, CO 80301
Employment Type: At-will
FLSA Classification: Exempt

Job Summary:

As a Data Scientist, you will work on a highly complex client-facing system providing insights to diverse user groups including innovation, marketing, sales, and strategy. Day-to-day activities will include development and refinement of projection algorithms, QC/QA systems support, and input to the product roadmap based on client needs and available data streams. The Product team empowers BDSA through the development of syndicated market research products based on scan data.

Essential Functions and Responsibilities:
Create and deploy data projection models to drive both customer-facing and internal decisions.
Execute and evaluate appropriate analyses (cluster analysis, logistic/linear regression, lift, etc.) given an array of tactical and strategic objectives.
Utilize statistical and data visualization packages to develop innovative approaches to complex business problems.
Extracts, analyzes, identifies, and assesses qualitative or quantitative patterns, trends, and other relationships from large amounts of data.
Responsible for the maintenance and management of data assets.
Interfaces with data end-users and the data storage/management architecture team to ensure that systems meet business needs.
Develops and executes standard or custom queries or reports to retrieve data as required.
Streamline existing processes to ensure the highest data quality while minimizing rework and increasing efficiency.
Define data needs and external sources; validate, import, curate, and manage data for analytic and discovery projects.
Interface closely with technology partners to manage analytical environment, acquire data sets, and develop production applications.
Qualifications

To perform this job successfully, an individual must be able to perform each essential function satisfactorily. The requirements listed below are representative of the knowledge, skill, and/or abilities required to do so. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.

Required Education, Experience, and Other Qualifications:
Degree in data science, statistics, economics, or a similar field with at least five years' work experience preferred (experience may be substituted for educational requirements).
Experience working with scan data.
Experience working in CPG or a similar industry (e.g., BevAl).
Experience analyzing and solving CPG-focused challenges including but not limited to: innovation planning, pricing elasticity, forecasting, projections, assortment, etc.
Ability to digest business problems and translate needs into a data-centric context.
Self-starter attitude with willingness to learn and master new technologies and analytical techniques.
Flexibility to work both independently and within a team.
Creativity in the face of constraint; ""I can solve this"" mentality.
Advanced Excel and PowerPoint skills.
Familiarity with data visualization software, such as Tableau, Looker, or PowerBI.
Preferred:
Experience processing and manipulating POS, unstructured, text, and survey data.
Experience developing and validating market research models.
Experience in the cannabis industry.
Other Information

Benefits: Company paid Medical, Dental, Vision, Life and AD&D coverages. We also provide both Health and Flexible Savings Account benefits, Dependent Care and a 401K with immediate vesting.

Conditions of Employment: Pre-employment background check

Work Environment: Normal office environment

Travel: 0%

BDS Analytics, Inc. is an equal opportunity employer. All aspects of employment including the decision to hire, promote, discipline, or discharge, will be based on merit, competence, performance, and business needs. We do not discriminate based on any pay inequities nor on race, color, religion, marital status, age, national origin, ancestry, physical or mental disability, medical condition pregnancy, genetic information, gender, sexual orientation, gender identity or expression, veteran status, or any other status protected under federal, state, or local law.",4.0,"BDS Analytics
4.0",Colorado,-1,51 to 200 Employees,2014,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1
